change_id,employee_id,change_date,old_salary,new_salary,change_reason
CHG-0054,EMP-0243,2025-01-20,83000,91000,role_change
CHG-0055,EMP-0302,2024-09-13,3500,4000,merit_increase
CHG-0056,EMP-0029,2025-01-06,51500,62500,promotion
CHG-0057,EMP-0083,2025-05-24,35000,43000,promotion
CHG-0058,EMP-0293,2025-06-18,109500,128000,promotion
CHG-0059,EMP-0217,2024-11-19,60500,65500,merit_increase
CHG-0060,EMP-0311,2023-08-13,80000,95000,role_change
CHG-0061,EMP-0212,2024-10-08,76000,79500,merit_increase
CHG-0062,EMP-0231,2024-01-14,6100,7500,promotion
CHG-0063,EMP-0241,2025-05-30,62000,66000,merit_increase
CHG-0064,EMP-0185,2024-10-03,60000,70500,role_change
CHG-0065,EMP-0235,2025-06-07,123000,129500,merit_increase
CHG-0066,EMP-0274,2025-01-08,83500,89000,merit_increase
CHG-0067,EMP-0265,2023-11-12,79000,86500,market_adjustment
CHG-0068,EMP-0254,2024-12-21,2000,2500,market_adjustment
CHG-0069,EMP-0194,2024-07-07,73500,79000,market_adjustment
CHG-0070,EMP-0112,2024-10-24,128000,141000,merit_increase
CHG-0071,EMP-0171,2025-05-08,108500,119000,merit_increase
CHG-0072,EMP-0255,2025-02-08,5200,5500,merit_increase
CHG-0073,EMP-0318,2025-02-10,82000,91000,merit_increase
CHG-0074,EMP-0167,2024-10-01,91500,107000,promotion
CHG-0075,EMP-0191,2025-01-26,66500,80500,promotion
CHG-0076,EMP-0288,2025-04-08,82000,90500,market_adjustment
CHG-0077,EMP-0324,2024-03-29,79000,100500,promotion
CHG-0078,EMP-0269,2023-11-17,91000,100500,role_change
CHG-0079,EMP-0345,2023-10-02,74500,89000,role_change
CHG-0080,EMP-0250,2025-05-09,40000,42500,merit_increase
CHG-0081,EMP-0257,2024-10-03,52500,61000,role_change
CHG-0082,EMP-0239,2024-09-21,37500,41000,merit_increase
CHG-0083,EMP-0238,2024-07-06,5900,6000,market_adjustment
CHG-0084,EMP-0210,2025-04-26,34000,42000,promotion
CHG-0085,EMP-0305,2023-10-17,47500,52000,merit_increase
CHG-0086,EMP-0291,2025-05-16,38000,43500,role_change
CHG-0087,EMP-0248,2025-06-10,120500,140500,promotion
CHG-0088,EMP-0213,2025-02-10,64500,76500,promotion
CHG-0089,EMP-0229,2024-07-31,62500,80000,promotion
CHG-0090,EMP-0285,2024-08-25,43000,50500,promotion
CHG-0091,EMP-0237,2024-05-08,73500,89500,promotion
CHG-0092,EMP-0227,2024-04-17,56500,66500,role_change
CHG-0093,EMP-0242,2025-02-05,108000,123500,market_adjustment
CHG-0094,EMP-0098,2025-01-04,40000,42500,merit_increase
CHG-0095,EMP-0336,2024-06-07,72500,86000,role_change
CHG-0096,EMP-0277,2025-02-18,78000,97500,promotion
CHG-0097,EMP-0338,2024-11-16,89000,99000,merit_increase
CHG-0098,EMP-0260,2024-12-02,5900,7500,promotion
CHG-0099,EMP-0282,2024-03-22,3600,4500,promotion
CHG-0100,EMP-0321,2025-01-06,51500,54500,merit_increase
CHG-0101,EMP-0306,2024-07-01,30500,36000,market_adjustment
CHG-0102,EMP-0147,2025-06-27,69000,73500,merit_increase
CHG-0103,EMP-0278,2025-02-14,36000,38500,merit_increase
CHG-0104,EMP-0184,2024-06-18,87500,97000,merit_increase
CHG-0105,EMP-0271,2025-05-06,45000,53500,promotion
CHG-0106,EMP-0187,2024-09-17,53000,56500,market_adjustment
CHG-0107,EMP-0024,2025-05-20,37000,40000,merit_increase
CHG-0108,EMP-0309,2023-11-03,69000,81000,role_change
CHG-0109,EMP-0195,2024-05-23,41500,44500,merit_increase
CHG-0110,EMP-0281,2024-08-10,44000,49000,merit_increase
CHG-0111,EMP-0331,2024-07-20,45000,50000,merit_increase
CHG-0112,EMP-0028,2024-10-14,38500,40000,merit_increase
CHG-0113,EMP-0081,2025-05-05,109000,127500,promotion
CHG-0114,EMP-0025,2025-01-19,40500,47500,promotion
CHG-0115,EMP-0174,2024-07-13,97500,106000,role_change
CHG-0116,EMP-0256,2023-12-05,54500,64500,role_change
CHG-0117,EMP-0222,2025-03-18,90000,104000,promotion
CHG-0118,EMP-0172,2024-04-19,44500,53000,promotion
CHG-0119,EMP-0200,2025-02-18,64500,67500,merit_increase
CHG-0120,EMP-0310,2024-05-10,64000,67500,market_adjustment
