offer_id,application_id,offer_date,offer_amount,offer_currency,equity_offered,offer_status,decline_reason,accepted_date
OFR-066,APP-00066,2025-06-30,43500,EUR,False,accepted,,2025-07-01
OFR-067,APP-00067,2025-06-30,44500,EUR,False,accepted,,2025-07-02
OFR-068,APP-00068,2025-06-30,26000,EUR,False,accepted,,2025-07-04
OFR-069,APP-00069,2025-06-30,37500,EUR,False,accepted,,2025-07-03
OFR-070,APP-00070,2025-06-30,37000,EUR,True,accepted,,2025-07-01
OFR-071,APP-00071,2025-02-02,113500,EUR,False,accepted,,2025-02-05
OFR-072,APP-00072,2025-01-19,131000,EUR,False,accepted,,2025-01-20
OFR-073,APP-00073,2025-06-30,"EUR45,500",EUR,False,accepted,,2025-07-02
OFR-074,APP-00074,2025-06-30,43000,EUR,True,accepted,,2025-07-03
OFR-075,APP-00075,2025-06-30,49500,EUR,False,accepted,,2025-07-02
OFR-076,APP-00076,2025-06-30,121500,EUR,False,accepted,,2025-07-04
OFR-077,APP-00077,2025-06-30,141000,EUR,False,accepted,,2025-07-03
OFR-078,APP-00078,2024-03-04,93000,EUR,True,accepted,,2024-03-06
OFR-079,APP-00079,2024-03-19,110500,EUR,True,accepted,,2024-03-20
OFR-080,APP-00080,2024-04-03,99500,EUR,False,accepted,,2024-04-05
OFR-081,APP-00081,2024-03-09,89000,EUR,True,accepted,,2024-03-13
OFR-082,APP-00082,2024-03-20,105000,EUR,True,accepted,,2024-03-22
OFR-083,APP-00083,2024-03-09,40000,EUR,False,accepted,,2024-03-13
OFR-084,APP-00084,2024-03-25,50500,EUR,True,accepted,,2024-03-29
OFR-085,APP-00085,2025-06-30,81500,EUR,False,accepted,,2025-07-02
OFR-086,APP-00086,2025-06-30,68000,EUR,False,accepted,,2025-07-01
OFR-087,APP-00087,2025-06-30,72500,EUR,True,accepted,,2025-07-01
OFR-088,APP-00088,2024-12-01,65500,EUR,True,accepted,,2024-12-02
OFR-089,APP-00089,2024-12-23,75000,EUR,False,accepted,,2024-12-26
OFR-090,APP-00090,2024-12-22,74k,EUR,True,accepted,,2024-12-26
OFR-091,APP-00091,2024-12-22,73500,EUR,False,accepted,,2024-12-23
OFR-092,APP-00092,2025-03-17,41500,EUR,False,accepted,,2025-03-20
OFR-093,APP-00093,2025-03-28,52000,EUR,True,accepted,,2025-03-31
OFR-094,APP-00094,2025-03-12,41500,EUR,True,accepted,,2025-03-15
OFR-095,APP-00095,2025-06-30,142500,EUR,True,accepted,,2025-07-01
OFR-096,APP-00096,2025-06-30,110500,EUR,True,accepted,,2025-07-01
OFR-097,APP-00097,2024-03-25,43000,EUR,False,accepted,,2024-03-28
OFR-098,APP-00098,2024-02-24,44500,EUR,False,accepted,,2024-02-26
OFR-099,APP-00099,2024-02-29,49000,EUR,False,accepted,,2024-03-01
OFR-100,APP-00100,2025-06-30,111500,EUR,False,accepted,,2025-07-01
OFR-101,APP-00101,2025-06-05,102000,EUR,False,accepted,,2025-06-09
OFR-102,APP-00102,2025-06-11,104500,EUR,False,accepted,,2025-06-14
OFR-103,APP-00103,2025-05-31,109000,EUR,False,accepted,,2025-06-04
OFR-104,APP-00104,2025-03-31,88500,EUR,True,accepted,,2025-04-03
OFR-105,APP-00105,2025-04-28,95000,EUR,False,accepted,,2025-05-02
OFR-106,APP-00106,2025-04-06,93500,EUR,True,accepted,,2025-04-09
OFR-107,APP-00107,2025-03-24,92500,EUR,False,accepted,,2025-03-25
OFR-108,APP-00108,2025-02-19,58500,GBP,False,accepted,,2025-02-20
OFR-109,APP-00109,2025-02-21,56500,GBP,True,accepted,,2025-02-23
OFR-110,APP-00110,2025-02-26,55k,GBP,False,accepted,,2025-03-02
OFR-111,APP-00111,2025-01-29,56000,GBP,False,accepted,,2025-01-31
OFR-112,APP-00112,2024-02-26,114000,EUR,False,accepted,,2024-02-29
OFR-113,APP-00113,2024-02-21,140500,EUR,False,accepted,,2024-02-22
OFR-114,APP-00114,2024-03-11,109000,EUR,False,accepted,,2024-03-14
OFR-115,APP-00115,2024-02-13,106500,EUR,False,accepted,,2024-02-16
OFR-116,APP-00116,2024-02-14,111000,EUR,False,accepted,,2024-02-18
OFR-117,APP-00117,2025-06-30,77500,EUR,False,accepted,,2025-07-02
OFR-118,APP-00118,2025-06-30,88000,EUR,False,accepted,,2025-07-03
OFR-119,APP-00119,2025-06-30,87000,EUR,False,accepted,,2025-07-04
OFR-120,APP-00120,2025-06-30,78500,EUR,False,accepted,,2025-07-03
OFR-121,APP-00121,2025-06-30,81500,GBP,True,accepted,,2025-07-04
OFR-122,APP-00122,2025-06-30,80000,GBP,True,accepted,,2025-07-04
OFR-123,APP-00123,2025-06-30,92500,GBP,True,accepted,,2025-07-01
OFR-124,APP-00124,2025-06-30,84000,GBP,False,accepted,,2025-07-03
OFR-125,APP-00125,2025-05-14,64500,EUR,True,accepted,,2025-05-16
OFR-126,APP-00126,2025-05-15,45k,EUR,True,accepted,,2025-05-19
OFR-127,APP-00127,2025-06-17,40000,EUR,True,accepted,,2025-06-21
OFR-128,APP-00128,2025-06-11,50500,EUR,False,accepted,,2025-06-12
OFR-129,APP-00129,2025-05-20,41500,EUR,False,accepted,,2025-05-24
OFR-130,APP-00130,2025-05-07,41k,EUR,False,accepted,,2025-05-09
OFR-131,APP-00131,2025-06-02,38000,EUR,False,accepted,,2025-06-03
OFR-132,APP-00132,2025-05-27,38500,EUR,True,accepted,,2025-05-29
OFR-133,APP-00133,2025-06-12,80500,EUR,False,accepted,,2025-06-13
OFR-134,APP-00134,2025-06-09,71500,EUR,True,accepted,,2025-06-12
OFR-135,APP-00135,2025-06-17,74500,EUR,False,accepted,,2025-06-19
OFR-136,APP-00136,2025-06-30,70.000,EUR,True,accepted,,2025-07-04
OFR-137,APP-00137,2025-06-14,79000,EUR,False,accepted,,2025-06-17
OFR-138,APP-00138,2025-02-07,81500,EUR,False,accepted,,2025-02-11
OFR-139,APP-00139,2025-02-28,87k,EUR,True,accepted,,2025-03-03
OFR-140,APP-00140,2025-02-18,83k,EUR,False,accepted,,2025-02-21
OFR-141,APP-00141,2025-03-02,90000,EUR,True,accepted,,2025-03-06
OFR-142,APP-00142,2025-02-11,70000,EUR,True,accepted,,2025-02-12
OFR-143,APP-00143,2025-06-30,78000,EUR,False,accepted,,2025-07-02
OFR-144,APP-00144,2025-06-30,66500,EUR,False,accepted,,2025-07-02
OFR-145,APP-00145,2025-06-30,54500,EUR,False,accepted,,2025-07-01
OFR-146,APP-00146,2025-06-30,72500,EUR,False,accepted,,2025-07-03
OFR-147,APP-00147,2024-03-13,90500,EUR,True,accepted,,2024-03-16
OFR-148,APP-00148,2025-06-30,54000,EUR,True,accepted,,2025-07-04
OFR-149,APP-00149,2025-06-30,53000,EUR,False,accepted,,2025-07-01
OFR-150,APP-00150,2025-06-30,65500,EUR,True,accepted,,2025-07-03
OFR-151,APP-00151,2025-06-30,60000,EUR,False,accepted,,2025-07-03
OFR-152,APP-00152,2025-06-30,74000,EUR,True,accepted,,2025-07-02
OFR-153,APP-00153,2024-08-22,49500,EUR,False,accepted,,2024-08-26
OFR-154,APP-00154,2024-08-13,39000,EUR,False,accepted,,2024-08-16
OFR-155,APP-00155,2024-08-05,48500,EUR,False,accepted,,2024-08-09
OFR-156,APP-00156,2024-08-25,44500,EUR,False,accepted,,2024-08-27
OFR-157,APP-00157,2024-09-10,48000,EUR,False,accepted,,2024-09-12
OFR-158,APP-00158,2024-09-12,47.500,EUR,False,accepted,,2024-09-14
OFR-159,APP-00159,2024-09-15,46000,EUR,False,accepted,,2024-09-17
OFR-160,APP-00160,2025-06-30,111500,EUR,False,accepted,,2025-07-02
OFR-161,APP-00161,2025-06-30,86000,EUR,False,accepted,,2025-07-01
OFR-162,APP-00162,2025-06-30,100000,EUR,False,accepted,,2025-07-02
OFR-163,APP-00163,2025-06-30,113000,EUR,False,accepted,,2025-07-04
OFR-164,APP-00164,2025-06-30,97500,EUR,False,accepted,,2025-07-04
OFR-165,APP-00165,2024-06-15,69500,EUR,True,accepted,,2024-06-17
OFR-166,APP-00166,2024-06-25,"EUR72,500",EUR,False,accepted,,2024-06-27
OFR-167,APP-00072,2025-05-08,131000,EUR,False,declined,personal_reasons,
OFR-168,APP-00135,2025-05-14,34500,EUR,True,declined,no_response,
OFR-169,APP-00023,2025-05-09,66500,EUR,True,declined,location,
OFR-170,APP-00158,2025-05-15,38k,EUR,False,declined,personal_reasons,
OFR-171,APP-00008,2025-04-26,44000,EUR,False,declined,role_fit,
OFR-172,APP-00048,2025-02-16,56000,EUR,False,expired,,
OFR-173,APP-00022,2025-01-05,55500,EUR,False,declined,no_response,
OFR-174,APP-00074,2025-05-02,50500,EUR,True,declined,no_response,
OFR-175,APP-00097,2025-05-26,40500,EUR,False,declined,no_response,
OFR-176,APP-00115,2025-02-16,136500,EUR,False,expired,,
OFR-177,APP-00149,2025-03-10,77.000,EUR,False,rescinded,no_response,
OFR-178,APP-00127,2025-06-05,35500,EUR,False,declined,role_fit,
OFR-179,APP-00092,2025-04-09,43000,EUR,False,declined,location,
OFR-180,APP-00031,2025-03-18,76000,EUR,False,expired,,
OFR-181,APP-00008,2025-04-07,38000,EUR,False,rescinded,no_response,
OFR-182,APP-00126,2025-01-16,49500,EUR,True,declined,personal_reasons,
OFR-183,APP-00121,2025-05-10,73500,EUR,False,expired,,
OFR-184,APP-00164,2025-03-10,87000,EUR,False,declined,competing_offer,
OFR-185,APP-00015,2025-06-18,80500,EUR,True,declined,no_response,
OFR-186,APP-00137,2025-05-13,47000,EUR,False,rescinded,personal_reasons,
