application_id,candidate_id,job_id,source,source_subtype,application_date,current_stage,current_stage_date,hired,rejected,withdrawn
APP-00026,CAND-0026,JOB-006,Employee Referral,Internal Referral,2024-02-10,Hired,2024-03-28,True,False,False
APP-00027,CAND-0027,JOB-006,Employee Referral,Internal Referral,2024-01-23,Hired,2024-03-20,True,False,False
APP-00028,CAND-0028,JOB-006,Employee Ref,Internal Referral,2024-01-16,Hired,2024-03-26,True,False,False
APP-00029,CAND-0029,JOB-006,Employee Referral,Internal Referral,2024-02-20,Hired,2024-04-10,True,False,False
APP-00030,CAND-0030,JOB-007,Employee Referral,Internal Referral,2025-06-12,Hired,2025-07-20,True,False,False
APP-00031,CAND-0031,JOB-007,Employee Ref,Internal Referral,2025-06-26,Hired,2025-07-30,True,False,False
APP-00032,CAND-0032,JOB-007,Employee Referral,Internal Referral,2025-05-28,Hired,2025-08-22,True,False,False
APP-00033,CAND-0033,JOB-007,Employee Referral,Internal Referral,2025-05-30,Hired,2025-08-22,True,False,False
APP-00034,CAND-0034,JOB-008,Employee Referral,Internal Referral,2025-06-26,Hired,2025-08-30,True,False,False
APP-00035,CAND-0035,JOB-008,Employee Ref,Internal Referral,2025-06-17,Hired,2025-08-08,True,False,False
APP-00036,CAND-0036,JOB-008,Employee Referral,Internal Referral,2025-06-17,Hired,2025-08-10,True,False,False
APP-00037,CAND-0037,JOB-009,Employee Referral,Internal Referral,2025-05-15,Hired,2025-08-09,True,False,False
APP-00038,CAND-0038,JOB-009,Employee Referral,Internal Referral,2025-05-12,Hired,2025-08-08,True,False,False
APP-00039,CAND-0039,JOB-009,Referral,Internal Referral,2025-05-17,Hired,2025-07-03,True,False,False
APP-00040,CAND-0040,JOB-009,Employee Referral,Internal Referral,2025-05-03,Hired,2025-07-27,True,False,False
APP-00041,CAND-0041,JOB-010,Employee Ref,Internal Referral,2025-06-19,Hired,2025-07-31,True,False,False
APP-00042,CAND-0042,JOB-010,Employee Referral,Internal Referral,2025-06-15,Hired,2025-08-21,True,False,False
APP-00043,CAND-0043,JOB-010,Employee Referral,Internal Referral,2025-05-26,Hired,2025-07-28,True,False,False
APP-00044,CAND-0044,JOB-011,Employee Referral,Internal Referral,2024-12-12,Hired,2025-03-06,True,False,False
APP-00045,CAND-0045,JOB-011,Employee Referral,Internal Referral,2024-12-15,Hired,2025-02-28,True,False,False
APP-00046,CAND-0046,JOB-011,Employee Referral,Internal Referral,2025-01-05,Hired,2025-04-02,True,False,False
APP-00047,CAND-0047,JOB-011,Referral,Internal Referral,2024-12-14,Hired,2025-02-27,True,False,False
APP-00048,CAND-0048,JOB-011,Employee Referral,Internal Referral,2024-12-07,Hired,2025-03-07,True,False,False
APP-00049,CAND-0049,JOB-012,Employee Referral,Internal Referral,2025-06-30,Hired,2025-07-31,True,False,False
APP-00050,CAND-0050,JOB-012,Employee Referral,Internal Referral,2025-06-26,Hired,2025-08-25,True,False,False
APP-00051,CAND-0051,JOB-012,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-08-29,True,False,False
APP-00052,CAND-0052,JOB-012,LinkedIn Recruiter,InMail Outreach,2025-06-26,Hired,2025-08-30,True,False,False
APP-00053,CAND-0053,JOB-013,linkedin,Job Posting,2025-03-11,Hired,2025-05-21,True,False,False
APP-00054,CAND-0054,JOB-013,LinkedIn Recruiter,InMail Outreach,2025-03-19,Hired,2025-05-31,True,False,False
APP-00055,CAND-0055,JOB-013,LinkedIn Paid,Sponsored Job,2025-03-12,Hired,2025-06-19,True,False,False
APP-00056,CAND-0056,JOB-014,linkedin.com,Job Posting,2024-07-14,Hired,2024-10-28,True,False,False
APP-00057,CAND-0057,JOB-014,LinkedIn Paid,Sponsored Job,2024-07-23,Hired,2024-09-24,True,False,False
APP-00058,CAND-0058,JOB-014,LI,Job Posting,2024-08-12,Hired,2024-10-30,True,False,False
APP-00059,CAND-0059,JOB-014,Recruitment Agency,Agency Submission,2024-07-22,Hired,2024-11-09,True,False,False
APP-00060,CAND-0060,JOB-014,Careers Page,Careers Page,2024-07-14,Hired,2024-10-20,True,False,False
APP-00061,CAND-0061,JOB-014,Indeed,Indeed Apply,2024-08-11,Hired,2024-11-12,True,False,False
APP-00062,CAND-0062,JOB-015,LinkedIn Recruiter,InMail Outreach,2025-06-21,Hired,2025-07-21,True,False,False
APP-00063,CAND-0063,JOB-015,Headhunter,Agency Submission,2025-06-02,Hired,2025-07-16,True,False,False
APP-00064,CAND-0064,JOB-015,LinkedIn,Job Posting,2025-06-30,Hired,2025-08-03,True,False,False
APP-00065,CAND-0065,JOB-015,Direct Application,Careers Page,2025-05-31,Hired,2025-08-01,True,False,False
APP-00066,CAND-0066,JOB-015,Glassdoor,Glassdoor Apply,2025-06-25,Hired,2025-07-28,True,False,False
APP-00067,CAND-0067,JOB-015,Direct Application,Careers Page,2025-06-24,Hired,2025-07-24,True,False,False
APP-00068,CAND-0068,JOB-016,Direct Application,Careers Page,2025-06-26,Hired,2025-08-28,True,False,False
APP-00069,CAND-0069,JOB-016,LI,Job Posting,2025-06-26,Hired,2025-08-22,True,False,False
APP-00070,CAND-0070,JOB-016,University Partnership,Careers Fair,2025-06-26,Hired,2025-08-10,True,False,False
APP-00071,CAND-0071,JOB-017,Glassdoor,Glassdoor Apply,2024-12-24,Hired,2025-03-18,True,False,False
APP-00072,CAND-0072,JOB-017,LinkedIn Organic,Job Posting,2024-12-17,Hired,2025-03-21,True,False,False
APP-00073,CAND-0073,JOB-018,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-08-20,True,False,False
APP-00074,CAND-0074,JOB-018,GitHub,GitHub Profile,2025-06-21,Hired,2025-08-16,True,False,False
APP-00075,CAND-0075,JOB-018,LinkedIn Recruiter,InMail Outreach,2025-06-20,Hired,2025-08-29,True,False,False
APP-00076,CAND-0076,JOB-019,glassdoor,Glassdoor Apply,2025-06-26,Hired,2025-08-17,True,False,False
APP-00077,CAND-0077,JOB-019,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-08-23,True,False,False
APP-00078,CAND-0078,JOB-020,Recruitment Agency,Agency Submission,2024-01-21,Hired,2024-04-17,True,False,False
APP-00079,CAND-0079,JOB-020,Direct Application,Careers Page,2024-02-03,Hired,2024-04-15,True,False,False
APP-00080,CAND-0080,JOB-020,LI,Job Posting,2024-02-27,Hired,2024-05-20,True,False,False
APP-00081,CAND-0081,JOB-020,LinkedIn Recruiter,InMail Outreach,03/02/2024,Hired,04/29/2024,True,False,False
APP-00082,CAND-0082,JOB-020,Recruitment Agency,Agency Submission,2024-02-17,Hired,2024-05-19,True,False,False
APP-00083,CAND-0083,JOB-021,Other,Unknown,2024-02-06,Hired,2024-05-09,True,False,False
APP-00084,CAND-0084,JOB-021,LinkedIn Organic,Job Posting,2024-02-11,Hired,2024-05-18,True,False,False
APP-00085,CAND-0085,JOB-022,Recruitment Agency,Agency Submission,2025-06-26,Hired,2025-08-20,True,False,False
APP-00086,CAND-0086,JOB-022,Indeed,Indeed Apply,2025-06-26,Hired,2025-07-29,True,False,False
APP-00087,CAND-0087,JOB-022,LinkedIn Paid,Sponsored Job,2025-06-26,Hired,2025-08-27,True,False,False
APP-00088,CAND-0088,JOB-023,Glassdoor,Glassdoor Apply,2024-10-19,Hired,2024-12-27,True,False,False
APP-00089,CAND-0089,JOB-023,LinkedIn Recruiter,InMail Outreach,2024-11-07,Hired,2025-02-19,True,False,False
APP-00090,CAND-0090,JOB-023,Direct Application,Careers Page,2024-11-09,Hired,2025-01-07,True,False,False
APP-00091,CAND-0091,JOB-023,LinkedIn Organic,Job Posting,2024-11-08,Hired,2025-01-21,True,False,False
APP-00092,CAND-0092,JOB-024,LinkedIn Organic,Job Posting,2025-02-08,Hired,2025-05-17,True,False,False
APP-00093,CAND-0093,JOB-024,indeed,Indeed Apply,2025-02-21,Hired,2025-05-23,True,False,False
APP-00094,CAND-0094,JOB-024,University Partnership,Careers Fair,2025-02-02,Hired,2025-04-07,True,False,False
APP-00095,CAND-0095,JOB-025,LinkedIn Organic,Job Posting,2025-06-29,Hired,2025-08-12,True,False,False
APP-00096,CAND-0096,JOB-025,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-08-18,True,False,False
APP-00097,CAND-0097,JOB-026,LinkedIn Recruiter,InMail Outreach,2024-02-22,Hired,2024-04-14,True,False,False
APP-00098,CAND-0098,JOB-026,Direct Application,Careers Page,2024-01-25,Hired,2024-04-01,True,False,False
APP-00099,CAND-0099,JOB-026,LinkedIn Organic,Job Posting,2024-01-21,Hired,2024-04-29,True,False,False
APP-00100,CAND-0100,JOB-027,Direct Application,Careers Page,2025-05-31,Hired,2025-07-20,True,False,False
APP-00101,CAND-0101,JOB-027,LinkedIn Organic,Job Posting,2025-05-05,Hired,2025-07-29,True,False,False
APP-00102,CAND-0102,JOB-027,LinkedIn Paid,Sponsored Job,2025-05-02,Hired,2025-07-22,True,False,False
APP-00103,CAND-0103,JOB-027,linkedin.com,Job Posting,2025-04-24,Hired,2025-07-12,True,False,False
APP-00104,CAND-0104,JOB-028,LinkedIn Recruiter,InMail Outreach,2025-02-26,Hired,2025-05-22,True,False,False
APP-00105,CAND-0105,JOB-028,LinkedIn Organic,Job Posting,2025-03-25,Hired,2025-05-28,True,False,False
APP-00106,CAND-0106,JOB-028,LinkedIn Recruiter,InMail Outreach,2025-02-28,Hired,2025-05-19,True,False,False
APP-00107,CAND-0107,JOB-028,linkedin,Job Posting,2025-02-17,Hired,2025-05-04,True,False,False
APP-00108,CAND-0108,JOB-029,LinkedIn Recruiter,InMail Outreach,2025-01-15,Hired,2025-03-27,True,False,False
APP-00109,CAND-0109,JOB-029,Direct Application,Careers Page,2025-01-25,Hired,2025-03-31,True,False,False
APP-00110,CAND-0110,JOB-029,LinkedIn Recruiter,InMail Outreach,2025-01-27,Hired,2025-04-13,True,False,False
APP-00111,CAND-0111,JOB-029,LI Recruiter,InMail Outreach,2024-12-31,Hired,2025-03-03,True,False,False
APP-00112,CAND-0112,JOB-030,LinkedIn,Job Posting,2024-01-10,Hired,2024-04-14,True,False,False
APP-00113,CAND-0113,JOB-030,LinkedIn Recruiter,InMail Outreach,2024-01-18,Hired,2024-03-30,True,False,False
APP-00114,CAND-0114,JOB-030,LinkedIn Organic,Job Posting,2024-02-04,Hired,2024-04-03,True,False,False
APP-00115,CAND-0115,JOB-030,LinkedIn Recruiter,InMail Outreach,2024-01-04,Hired,2024-03-04,True,False,False
APP-00116,CAND-0116,JOB-030,Indeed,Indeed Apply,2024-01-13,Hired,2024-03-13,True,False,False
APP-00117,CAND-0117,JOB-031,LinkedIn,Job Posting,2025-06-26,Hired,2025-08-03,True,False,False
APP-00118,CAND-0118,JOB-031,LinkedIn Recruiter,InMail Outreach,2025-06-26,Hired,2025-08-05,True,False,False
APP-00119,CAND-0119,JOB-031,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-08-26,True,False,False
APP-00120,CAND-0120,JOB-031,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-08-29,True,False,False
APP-00121,CAND-0121,JOB-032,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-07-31,True,False,False
APP-00122,CAND-0122,JOB-032,LinkedIn Organic,Job Posting,2025-06-18,Hired,2025-07-17,True,False,False
APP-00123,CAND-0123,JOB-032,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-07-27,True,False,False
APP-00124,CAND-0124,JOB-032,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-08-23,True,False,False
APP-00125,CAND-0125,JOB-034,LinkedIn InMail,InMail Outreach,2025-04-04,Hired,2025-06-17,True,False,False
APP-00126,CAND-0126,JOB-035,LinkedIn Recruiter,InMail Outreach,04/18/2025,Hired,18/07/2025,True,False,False
APP-00127,CAND-0127,JOB-035,LinkedIn Organic,Job Posting,2025-05-21,Hired,2025-07-03,True,False,False
APP-00128,CAND-0128,JOB-035,LinkedIn Organic,Job Posting,2025-05-12,Hired,2025-07-05,True,False,False
APP-00129,CAND-0129,JOB-035,Glassdoor,Glassdoor Apply,2025-04-23,Hired,2025-07-16,True,False,False
APP-00130,CAND-0130,JOB-036,Direct Application,Careers Page,2025-04-05,Hired,2025-06-18,True,False,False
APP-00131,CAND-0131,JOB-036,LinkedIn Recruiter,InMail Outreach,2025-05-01,Hired,2025-07-11,True,False,False
APP-00132,CAND-0132,JOB-036,LinkedIn Organic,Job Posting,2025-04-28,Hired,2025-06-28,True,False,False
APP-00133,CAND-0133,JOB-037,LinkedIn Organic,Job Posting,2025-05-10,Hired,2025-08-05,True,False,False
APP-00134,CAND-0134,JOB-037,LinkedIn Organic,Job Posting,2025-05-16,Hired,2025-06-28,True,False,False
APP-00135,CAND-0135,JOB-037,Glassdoor,Glassdoor Apply,2025-05-19,Hired,2025-07-19,True,False,False
APP-00136,CAND-0136,JOB-037,Direct Application,Careers Page,2025-06-01,Hired,2025-07-25,True,False,False
APP-00137,CAND-0137,JOB-037,Direct Application,Careers Page,2025-05-21,Hired,2025-08-09,True,False,False
APP-00138,CAND-0138,JOB-038,Recruitment Agency,Agency Submission,2025-01-05,Hired,2025-04-05,True,False,False
APP-00139,CAND-0139,JOB-038,LinkedIn Organic,Job Posting,2025-01-25,Hired,2025-04-01,True,False,False
APP-00140,CAND-0140,JOB-038,LinkedIn Sponsored,Sponsored Job,2025-01-09,Hired,2025-03-14,True,False,False
APP-00141,CAND-0141,JOB-038,LinkedIn Paid,Sponsored Job,2025-01-28,Hired,2025-04-14,True,False,False
APP-00142,CAND-0142,JOB-038,LinkedIn Organic,Job Posting,2025-01-05,Hired,2025-03-01,True,False,False
APP-00143,CAND-0143,JOB-039,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-07-30,True,False,False
APP-00144,CAND-0144,JOB-039,LinkedIn Ads,Sponsored Job,2025-06-20,Hired,2025-07-21,True,False,False
APP-00145,CAND-0145,JOB-039,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-07-26,True,False,False
APP-00146,CAND-0146,JOB-039,linkedin,Job Posting,2025-06-26,Hired,2025-08-08,True,False,False
APP-00147,CAND-0147,JOB-040,Direct Application,Careers Page,2024-02-10,Hired,2024-05-10,True,False,False
APP-00148,CAND-0148,JOB-041,Linked In,Job Posting,2025-06-26,Hired,2025-07-26,True,False,False
APP-00149,CAND-0149,JOB-041,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-07-18,True,False,False
APP-00150,CAND-0150,JOB-041,LinkedIn Paid,Sponsored Job,2025-06-26,Hired,2025-08-28,True,False,False
APP-00151,CAND-0151,JOB-041,glassdoor,Glassdoor Apply,2025-06-26,Hired,2025-08-26,True,False,False
APP-00152,CAND-0152,JOB-041,Indeed,Indeed Apply,2025-06-26,Hired,2025-08-29,True,False,False
APP-00153,CAND-0153,JOB-042,Direct Application,Careers Page,2024-07-21,Hired,2024-10-04,True,False,False
APP-00154,CAND-0154,JOB-042,LinkedIn Organic,Job Posting,2024-07-09,Hired,2024-08-31,True,False,False
APP-00155,CAND-0155,JOB-042,Indeed,Indeed Apply,2024-07-06,Hired,2024-10-05,True,False,False
APP-00156,CAND-0156,JOB-042,Direct Application,Careers Page,2024-07-31,Hired,2024-09-24,True,False,False
APP-00157,CAND-0157,JOB-043,Direct Application,Careers Page,2024-08-13,Hired,2024-10-26,True,False,False
APP-00158,CAND-0158,JOB-043,LI Recruiter,InMail Outreach,2024-08-16,Hired,2024-10-30,True,False,False
APP-00159,CAND-0159,JOB-043,Company Website,Careers Page,2024-08-16,Hired,2024-11-13,True,False,False
APP-00160,CAND-0160,JOB-044,Direct Application,Careers Page,2025-06-26,Hired,2025-08-02,True,False,False
APP-00161,CAND-0161,JOB-044,Glassdoor,Glassdoor Apply,2025-06-26,Hired,2025-08-20,True,False,False
APP-00162,CAND-0162,JOB-044,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-07-18,True,False,False
APP-00163,CAND-0163,JOB-044,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-07-17,True,False,False
APP-00164,CAND-0164,JOB-044,LinkedIn Organic,Job Posting,2025-06-26,Hired,2025-08-16,True,False,False
APP-00165,CAND-0165,JOB-045,LinkedIn Organic,Job Posting,2024-05-05,Hired,2024-07-15,True,False,False
APP-00166,CAND-0166,JOB-045,Glassdoor,Glassdoor Apply,2024-05-14,Hired,2024-07-29,True,False,False
APP-00167,CAND-0167,JOB-037,LinkedIn Recruiter,InMail Outreach,2025-05-12,Recruiter Screen,2025-05-21,False,True,False
APP-00168,CAND-0168,JOB-014,LinkedIn Recruiter,InMail Outreach,2024-07-09,Resume Screen,2024-07-16,False,True,False
APP-00169,CAND-0169,JOB-033,LinkedIn Paid,Sponsored Job,2025-06-19,Final Panel Interview,2025-06-28,False,True,False
APP-00170,CAND-0170,JOB-028,LinkedIn Recruiter,InMail Outreach,2025-03-18,Final Panel Interview,2025-04-14,False,True,False
APP-00171,CAND-0171,JOB-015,Direct Application,Careers Page,2025-06-28,Technical Assessment,2025-06-30,False,True,False
APP-00172,CAND-0172,JOB-029,LinkedIn Organic,Job Posting,2024-12-28,Recruiter Screen,2025-01-06,False,True,False
APP-00173,CAND-0173,JOB-022,LinkedIn Sponsored,Sponsored Job,2025-06-20,Resume Screen,2025-06-25,False,True,False
APP-00174,CAND-0174,JOB-043,Indeed,Indeed Apply,2024-09-16,Resume Screen,2024-09-24,False,True,False
APP-00175,CAND-0175,JOB-035,LinkedIn Recruiter,InMail Outreach,2025-05-29,Hiring Manager Screen,2025-06-20,False,True,False
APP-00176,CAND-0176,JOB-006,LinkedIn Organic,Job Posting,2024-01-22,Recruiter Screen,2024-02-05,False,True,False
APP-00177,CAND-0177,JOB-031,Glassdoor.com,Glassdoor Apply,2025-06-30,Hiring Manager Screen,2025-07-01,False,True,False
APP-00178,CAND-0178,JOB-035,Glassdoor,Glassdoor Apply,2025-06-02,Resume Screen,2025-06-08,False,True,False
APP-00179,CAND-0179,JOB-030,Direct Application,Careers Page,2024-02-24,Offer,2024-03-24,False,False,True
APP-00180,CAND-0180,JOB-045,GitHub Sourcing,GitHub Profile,2024-05-14,Resume Screen,2024-05-21,False,True,False
APP-00181,CAND-0181,JOB-003,Other,Unknown,2025-06-11,Technical Assessment,2025-06-29,False,False,True
APP-00182,CAND-0182,JOB-033,GitHub Sourcing,GitHub Profile,2025-06-21,Hiring Manager Screen,2025-06-29,False,True,False
APP-00183,CAND-0183,JOB-003,LinkedIn Organic,Job Posting,2025-06-26,Recruiter Screen,2025-06-29,False,True,False
APP-00184,CAND-0184,JOB-029,Indeed,Indeed Apply,2025-02-07,Hiring Manager Screen,2025-02-22,False,False,True
APP-00185,CAND-0185,JOB-007,LinkedIn Organic,Job Posting,2025-06-12,Hiring Manager Screen,2025-06-28,False,True,False
APP-00186,CAND-0186,JOB-012,Employee Referral,Internal Referral,2025-06-26,Hiring Manager Screen,2025-07-01,False,True,False
APP-00187,CAND-0187,JOB-010,LinkedIn Recruiter,InMail Outreach,2025-06-23,Recruiter Screen,2025-07-01,False,True,False
APP-00188,CAND-0188,JOB-033,LinkedIn Recruiter,InMail Outreach,2025-07-01,Resume Screen,2025-06-29,False,True,False
APP-00189,CAND-0189,JOB-001,Recruitment Agency,Agency Submission,2025-04-14,Technical Assessment,2025-05-06,False,False,True
APP-00190,CAND-0190,JOB-015,Direct,Careers Page,2025-06-13,Recruiter Screen,2025-06-22,False,True,False
APP-00191,CAND-0191,JOB-014,LinkedIn Ads,Sponsored Job,2024-07-10,Resume Screen,2024-07-17,False,True,False
APP-00192,CAND-0192,JOB-034,LinkedIn Organic,Job Posting,2025-05-04,Recruiter Screen,2025-05-14,False,False,True
APP-00193,CAND-0193,JOB-008,Direct Application,Careers Page,2025-06-08,Recruiter Screen,2025-06-20,False,True,False
APP-00194,CAND-0194,JOB-015,LinkedIn Organic,Job Posting,2025-06-30,Resume Screen,2025-06-30,False,True,False
APP-00195,CAND-0195,JOB-028,Linked In,Job Posting,2025-02-20,Resume Screen,2025-02-26,False,True,False
APP-00196,CAND-0196,JOB-013,LinkedIn Organic,Job Posting,2025-02-28,Resume Screen,2025-03-09,False,True,False
APP-00197,CAND-0197,JOB-009,LinkedIn Organic,Job Posting,2025-06-03,Resume Screen,2025-06-12,False,True,False
APP-00198,CAND-0198,JOB-012,GitHub Sourcing,GitHub Profile,2025-06-22,Resume Screen,2025-07-01,False,True,False
APP-00199,CAND-0199,JOB-003,LinkedIn Organic,Job Posting,2025-06-29,Hiring Manager Screen,2025-07-01,False,True,False
APP-00200,CAND-0200,JOB-020,Glassdoor,Glassdoor Apply,2024-02-29,Recruiter Screen,2024-03-12,False,True,False
APP-00201,CAND-0201,JOB-021,LinkedIn Organic,Job Posting,2024-03-22,Technical Assessment,2024-04-13,False,True,False
APP-00202,CAND-0202,JOB-022,Glassdoor,Glassdoor Apply,2025-06-13,Resume Screen,2025-06-19,False,True,False
APP-00203,CAND-0203,JOB-024,Other,Unknown,2025-02-21,Offer,2025-03-28,False,False,True
APP-00204,CAND-0204,JOB-015,GitHub Sourcing,GitHub Profile,2025-06-22,Technical Assessment,2025-06-29,False,True,False
APP-00205,CAND-0205,JOB-023,Glassdoor,Glassdoor Apply,2024-10-19,Hiring Manager Screen,2024-10-31,False,True,False
APP-00206,CAND-0206,JOB-016,Direct Application,Careers Page,2025-06-24,Resume Screen,2025-06-28,False,True,False
APP-00207,CAND-0207,JOB-044,indeed,Indeed Apply,2025-06-11,Resume Screen,2025-06-21,False,True,False
APP-00208,CAND-0208,JOB-027,Recruitment Agency,Agency Submission,2025-05-08,Recruiter Screen,2025-05-21,False,True,False
APP-00209,CAND-0209,JOB-010,Agency,Agency Submission,2025-06-21,Resume Screen,2025-06-27,False,True,False
APP-00210,CAND-0210,JOB-002,LinkedIn Recruiter,InMail Outreach,2025-06-04,Technical Assessment,2025-06-25,False,False,True
APP-00211,CAND-0211,JOB-011,LinkedIn Organic,Job Posting,2024-12-19,Hiring Manager Screen,2025-01-05,False,True,False
APP-00212,CAND-0212,JOB-036,LinkedIn Paid,Sponsored Job,2025-04-11,Resume Screen,2025-04-15,False,True,False
APP-00213,CAND-0213,JOB-018,Direct Application,Careers Page,2025-06-30,Technical Assessment,2025-07-01,False,False,True
APP-00214,CAND-0214,JOB-010,LinkedIn Paid,Sponsored Job,2025-05-19,Resume Screen,2025-05-27,False,True,False
APP-00215,CAND-0215,JOB-016,LinkedIn InMail,InMail Outreach,2025-06-03,Hiring Manager Screen,2025-06-18,False,True,False
APP-00216,CAND-0216,JOB-036,LinkedIn Organic,Job Posting,2025-04-28,Final Panel Interview,2025-05-22,False,True,False
APP-00217,CAND-0217,JOB-033,Indeed,Indeed Apply,2025-06-25,Hiring Manager Screen,2025-06-30,False,True,False
APP-00218,CAND-0218,JOB-045,Indeed,Indeed Apply,2024-05-02,Resume Screen,2024-05-08,False,True,False
APP-00219,CAND-0219,JOB-032,LinkedIn Organic,Job Posting,2025-06-29,Recruiter Screen,2025-06-30,False,True,False
APP-00220,CAND-0220,JOB-021,GitHub Sourcing,GitHub Profile,2024-02-23,Resume Screen,2024-03-02,False,True,False
APP-00221,CAND-0221,JOB-007,LI Recruiter,InMail Outreach,2025-06-21,Resume Screen,2025-06-26,False,True,False
APP-00222,CAND-0222,JOB-040,Direct,Careers Page,2024-02-15,Resume Screen,2024-02-23,False,True,False
APP-00223,CAND-0223,JOB-019,LinkedIn Organic,Job Posting,2025-06-17,Resume Screen,2025-06-27,False,True,False
APP-00224,CAND-0224,JOB-028,LinkedIn Organic,Job Posting,2025-02-16,Resume Screen,2025-02-24,False,True,False
APP-00225,CAND-0225,JOB-032,LinkedIn Recruiter,InMail Outreach,2025-06-23,Resume Screen,2025-06-30,False,True,False
APP-00226,CAND-0226,JOB-010,Indeed,Indeed Apply,2025-06-03,Resume Screen,2025-06-11,False,True,False
APP-00227,CAND-0227,JOB-041,Indeed,Indeed Apply,2025-06-13,Recruiter Screen,2025-06-21,False,True,False
APP-00228,CAND-0228,JOB-030,Employee Referral,Internal Referral,2024-02-19,Resume Screen,2024-02-27,False,True,False
APP-00229,CAND-0229,JOB-008,Recruitment Agency,Agency Submission,2025-06-25,Technical Assessment,2025-06-30,False,True,False
APP-00230,CAND-0230,JOB-042,LinkedIn Organic,Job Posting,2024-08-11,Resume Screen,2024-08-19,False,True,False
APP-00231,CAND-0231,JOB-025,LinkedIn Organic,Job Posting,2025-06-02,Resume Screen,2025-06-10,False,True,False
APP-00232,CAND-0232,JOB-016,LinkedIn Recruiter,InMail Outreach,2025-06-05,Technical Assessment,2025-06-23,False,False,True
APP-00233,CAND-0233,JOB-010,indeed,Indeed Apply,2025-06-27,Resume Screen,2025-06-29,False,True,False
APP-00234,CAND-0234,JOB-027,LinkedIn Recruiter,InMail Outreach,2025-04-24,Hiring Manager Screen,2025-05-14,False,True,False
